name,HSP_exp,HOMO,LUMO,V_m,Dipole,Hydrogen,chi,eta,HSP_DFT,HOMO_ev,LUMO_ev,formula,SMILES
chloroform,9.21,-713850.0671,-188408.3266,700.7002,1.50934,0,4.67535,5.4455,6.257689216,-7.3981,-1.9526,CHCl₃,ClC(Cl)Cl
"1,2-dichloroethane",9.8,-695372.0406,-96375.2108,691.4617,0.00439,0,4.1027,6.2078,5.160914666,-7.2066,-0.9988,C₂H₄Cl₂,ClCCCl
nitroethane,11.1,-668701.9282,-300077.3609,602.6925,4.63722,0,5.02005,3.8203,8.671821412,-6.9302,-3.1099,C₂H₅NO₂,CC[N+]([O-])=O
cyclohexane,8.18,-661947.5582,51159.5282,856.3272,2e-05,0,3.165,7.3904,3.246647929,-6.8602,0.5302,C₆H₁₂,C1CCCCC1
toluene,8.91,-580345.1195,-117236.565,884.9733,0.6458,0,3.61475,4.7995,4.571326085,-6.0145,-1.215,C₆H₅CH₃,Cc1ccccc1
benzene,9.15,-613673.1109,-120044.4531,745.4635,2e-05,0,3.802,5.1158,5.076023528,-6.3599,-1.2441,C₆H₆,c1ccccc1
n-heptane,7.4,-689331.704,56678.8134,1108.159,0.11275,0,3.2783,7.7314,2.891677945,-7.144,0.5874,C₇H₁₆,CCCCCCC
Methylcyclohexane,7.8,-652452.8438,56678.8134,1000.4227,0.61483,0,3.0872,7.3492,2.935459707,-6.7618,0.5874,C₇H₁₄,CC1CCCCC1
"1,2,3,4-Tetrahydronaphthalene",9.5,-559705.6946,-114254.9931,1197.2336,1.19961,0,3.49235,4.6165,3.870524918,-5.8006,-1.1841,C₁₀H₁₂,C1CCc2ccccc2C1
o-dichlorobenzene,10.0,-595600.3466,-160532.0767,1033.4302,3.25215,0,3.91815,4.5089,4.740005777,-6.1726,-1.6637,C₆H₄Cl₂,Clc1ccccc1Cl
1-Bromonaphthalene,10.6,-538448.7273,-225731.0454,1309.9006,2.42317,0,3.95985,3.2409,5.030336763,-5.5803,-2.3394,C₁₀H₇Br,Brc1cccc2ccccc12
nitromethane,12.7,-671480.869,-309408.0406,464.4555,4.39416,0,5.0828,3.7524,10.09363579,-6.959,-3.2066,CH₃NO₂,C[N+]([O-])=O
carbon-disulfide,10.0,-647454.61,-264925.6896,563.2414,0.00017,0,4.7278,3.9644,8.287588892,-6.71,-2.7456,CS₂,S=C=S
"1,2-Dibromoethane",9.7,-658165.111,-170644.3335,777.0187,0.00689,0,4.29475,5.0525,5.663300537,-6.821,-1.7685,C₂H₄Br₂,BrCCBr
