name,HSP_exp,HOMO,LUMO,V_m,Dipole,Hydrogen,chi,eta,HSP_DFT
chloroform,9.21,-7.3981,-1.9526,700.7002,1.50934,0,4.67535,5.4455,6.257689216
"1,2-dichloroethane",9.8,-7.2066,-0.9988,691.4617,0.00439,0,4.1027,6.2078,5.160914666
nitroethane,11.1,-6.9302,-3.1099,602.6925,4.63722,0,5.02005,3.8203,8.671821412
cyclohexane,8.18,-6.8602,0.5302,856.3272,0.00002,0,3.165,7.3904,3.246647929
toluene,8.91,-6.0145,-1.215,884.9733,0.6458,0,3.61475,4.7995,4.571326085
benzene,9.15,-6.3599,-1.2441,745.4635,0.00002,0,3.802,5.1158,5.076023528
n-heptane,7.4,-7.144,0.5874,1108.159,0.11275,0,3.2783,7.7314,2.891677945
Methylcyclohexane,7.8,-6.7618,0.5874,1000.4227,0.61483,0,3.0872,7.3492,2.935459707
"1,2,3,4-Tetrahydronaphthalene",9.5,-5.8006,-1.1841,1197.2336,1.19961,0,3.49235,4.6165,3.870524918
o-dichlorobenzene,10,-6.1726,-1.6637,1033.4302,3.25215,0,3.91815,4.5089,4.740005777
1-Bromonaphthalene,10.6,-5.5803,-2.3394,1309.9006,2.42317,0,3.95985,3.2409,5.030336763
nitromethane,12.7,-6.959,-3.2066,464.4555,4.39416,0,5.0828,3.7524,10.09363579
carbon-disulfide,10,-6.71,-2.7456,563.2414,0.00017,0,4.7278,3.9644,8.287588892
"1,2-Dibromoethane",9.7,-6.821,-1.7685,777.0187,0.00689,0,4.29475,5.0525,5.663300537
n-octane,7.6,-6.8836,0.5524,1249.9495,0.06417,0,3.1656,7.436,2.679200566
dodecane,7.9,-6.9264,0.5629,1819.9317,0.0589,0,3.18175,7.4893,2.223870263
decaline,8.8,-6.4168,0.5967,1319.2808,0.0006,0,2.91005,7.0135,2.462714868
naphtalene,9.9,-5.5284,-2.1324,1126.6501,0,0,3.8304,3.396,5.12215553
styrene,9.3,-5.7009,-2.0543,991.2312,0.27564,0,3.8776,3.6466,5.333248386
o-xylene,8.8,-5.8469,-1.2005,1020.6394,0.9976,0,3.5237,4.6464,4.216498815
ethylbenzene,8.8,-6.0244,-1.1602,1028.7736,0.65241,0,3.5923,4.8642,4.184302924
mesitylene,8.8,-5.7551,-1.116,1167.0504,0.13001,0,3.43555,4.6391,3.845607159
"1,1-dichloroethylene",9.1,-6.3519,-1.5231,650.3188,1.65883,0,3.9375,4.8288,5.799727562
trichloroethylene,9.2,-6.0906,-1.6867,793.01,1.1657,0,3.88865,4.4039,5.434290465
tetrachloroethylene,9.3,-6.0509,-1.9052,931.9625,0.0004,0,3.97805,4.1457,5.289440064
chlorobenzene,9.5,-6.1505,-1.4793,891.629,2.23221,0,3.8149,4.6712,4.877949627
"1,1,2,2-tetrachloroethane",9.7,-7.1349,-1.6051,980.3889,0,0,4.37,5.5298,4.901722425
bromobenzene,9.5,-6.1121,-1.5014,934.4951,2.40884,0,3.80675,4.6107,4.786026091
2-nitropropane,9.9,-6.935,-3.1364,752.1351,4.80213,0,5.0357,3.7986,7.809433258
n-hexane,7.24,-7.252,0.5734,968.7365,0,0,3.3393,7.8254,3.13283418
acetone,9.77,-5.8177,-1.7003,570.2349,4.04566,1,3.759,4.1174,6.406695888
methylene-chloride,9.93,-7.2078,-1.1725,554.0772,2.20252,1,4.19015,6.0353,5.975764156
pyridine,10.61,-6.1216,-1.8676,711.3964,3.15369,2,3.9946,4.254,6.000720235
butanone,9.27,-5.7317,-1.6804,710.9846,4.2096,1,3.70605,4.0513,5.702209469
diethylether,7.62,-5.7975,0.6233,753.4554,1.61406,1,2.5871,6.4208,3.017067854
2-propanol,11.6,-6.2371,0.4885,611.2154,2.17624,2,2.8743,6.7256,3.650781568
ethanol,12.92,-6.2423,0.551,480.1693,2.13666,2,2.84565,6.7933,4.0547768
Dimethyl-sulfoxide,12.93,-5.5019,-0.1005,644.4799,5.56156,1,2.8012,5.4014,3.879552023
"Ethane-1,2-diol",16.3,-6.1458,0.3929,537.7044,2.66933,1,2.87645,6.5387,3.95308873
Oxolane,9.52,-5.5561,0.6217,663.7036,2.42874,1,2.4672,6.1778,3.120564641
morpholine,10.52,-5.2466,0.6109,758.4461,2.06852,1,2.31785,5.8575,2.810594026
"N,N-Dimethylmethanamide",12.14,-5.6599,-0.7671,677.7993,4.83665,1,3.2135,4.8928,4.586119158
acrylonitrile,10.5,-7.194,-2.474,538.6169,5.28694,0,4.834,4.72,7.9363281
propionitrile,10.8,-7.9698,-0.4686,570.4449,5.34092,0,4.2192,7.5012,5.308367758
benzonitrile,8.4,-6.7014,-2.4304,914.4969,6.28193,0,4.5659,4.271,6.047300434
nitrobenzene,10,-6.86,-3.6265,947.4095,6.2123,0,5.24325,3.2335,7.859247185
